source_file,date,duration,map,mode,result,game_id,team_id,team_total_kills,team_total_deaths,team_total_assists,team_total_gold,team_kda,summoner_name,level,champion,champion_korean,kills,deaths,assists,cs,gold,kda_ratio
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,1,28,48,57,72356,28/48/57,행복한욕조견,18,Rengar,렝가,10,14,7,105,18930,1.21
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,1,28,48,57,72356,28/48/57,인왕산와일드보어,18,Braum,브라움,4,10,17,41,16623,2.10
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,1,28,48,57,72356,28/48/57,Gomjkhan,18,Nidalee,니달리,10,11,12,120,19517,2.00
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,1,28,48,57,72356,28/48/57,RabiEddin,18,JarvanIV,자르반 4세,4,13,21,89,17286,1.92
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,2,48,28,76,62005,48/28/76,TwelveOClock,18,Ahri,아리,17,10,23,161,20825,4.00
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,2,48,28,76,62005,48/28/76,감귤 아저씨,18,Gangplank,갱플랭크,26,9,14,144,22536,4.44
화면 캡처 2026-03-29 040619.jpg,2026/03/27,29:33,칼바람 나락,사용자 설정,LOSE,,2,48,28,76,62005,48/28/76,기장앞바다벨코즈,18,Zyra,자이라,5,9,39,79,18644,4.89
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,1,8,9,10,13928,8/9/10,행복한욕조견,8,Nocturne,녹턴,2,4,5,4,4336,1.75
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,1,8,9,10,13928,8/9/10,감귤 아저씨,9,Shyvana,쉬바나,4,2,2,10,5028,3.00
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,1,8,9,10,13928,8/9/10,RabiEddin,9,Camille,카밀,2,3,3,16,4564,1.67
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,2,9,8,25,18903,9/8/25,기장앞바다벨코즈,8,Leblanc,르블랑,1,2,7,2,4091,4.00
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,2,9,8,25,18903,9/8/25,TwelveOClock,8,Draven,드레이븐,3,2,5,26,5484,4.00
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,2,9,8,25,18903,9/8/25,인왕산와일드보어,8,Shen,쉔,3,2,6,3,4584,4.50
화면 캡처 2026-03-29 040637.jpg,2026/03/27,5:57,도살자의 다리,사용자 설정,LOSE,,2,9,8,25,18903,9/8/25,Gomjkhan,8,Urgot,우르곳,2,2,7,20,4744,4.50
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,1,20,23,28,27369,20/23/28,행복한욕조견,14,Zaahen,자헨,5,8,9,35,8427,1.75
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,1,20,23,28,27369,20/23/28,감귤 아저씨,14,MasterYi,마스터 이,7,7,10,31,9252,2.43
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,1,20,23,28,27369,20/23/28,Gomjkhan,14,Kennen,케넨,8,8,9,34,9690,2.12
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,2,23,20,60,35690,23/20/60,RabiEddin,13,Varus,바루스,4,5,15,40,8595,3.80
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,2,23,20,60,35690,23/20/60,기장앞바다벨코즈,14,Karma,카르마,2,5,18,18,7993,4.00
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,2,23,20,60,35690,23/20/60,TwelveOClock,14,Ekko,에코,14,4,8,49,10697,5.50
화면 캡처 2026-03-29 040646.jpg,2026/03/27,12:28,도살자의 다리,사용자 설정,LOSE,,2,23,20,60,35690,23/20/60,인왕산와일드보어,14,Nautilus,노틸러스,3,6,19,18,8405,3.67
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,1,24,21,40,28794,24/21/40,행복한욕조견,14,Fizz,피즈,6,8,11,24,9214,2.12
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,1,24,21,40,28794,24/21/40,감귤 아저씨,15,Zeri,제리,11,5,13,62,10520,4.80
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,1,24,21,40,28794,24/21/40,인왕산와일드보어,15,Thresh,쓰레쉬,7,8,16,11,9060,2.88
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,2,21,24,43,37577,21/24/43,RabiEddin,14,Elise,엘리스,2,6,12,10,8091,2.33
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,2,21,24,43,37577,21/24/43,Gomjkhan,14,Irelia,이렐리아,5,7,12,94,10592,2.43
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,2,21,24,43,37577,21/24/43,기장앞바다벨코즈,15,Bard,바드,7,3,12,15,9902,6.33
화면 캡처 2026-03-29 040656.jpg,2026/03/27,12:58,도심자의 다리,사용자 설정,LOSE,,2,21,24,43,37577,21/24/43,TwelveOClock,13,LeeSin,리 신,7,8,7,14,8992,1.75
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,1,28,32,58,50042,28/32/58,행복한욕조견,18,Nasus,나서스,13,7,11,103,15138,3.43
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,1,28,32,58,50042,28/32/58,RabiEddin,17,Poppy,뽀삐,3,8,16,29,11429,2.38
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,1,28,32,58,50042,28/32/58,Gomjkhan,17,Volibear,볼리베어,8,8,15,41,12528,2.88
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,1,28,32,58,50042,28/32/58,인왕산와일드보어,17,Seraphine,세라핀,4,9,16,24,10947,2.22
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,2,32,28,53,39607,32/28/53,감귤 아저씨,18,Jax,잭스,18,9,13,46,14260,3.44
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,2,32,28,53,39607,32/28/53,기장앞바다벨코즈,18,Amumu,아무무,3,11,26,38,11425,2.64
화면 캡처 2026-03-29 040705.jpg,2026/03/27,18:06,도살자의 다리,사용자 설정,WIN,,2,32,28,53,39607,32/28/53,TwelveOClock,18,Taliyah,탈리야,11,8,14,101,13922,3.12
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,1,23,26,37,41676,23/26/37,행복한욕조견,16,Sylas,사일러스,7,6,10,17,10512,2.83
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,1,23,26,37,41676,23/26/37,RabiEddin,15,Darius,다리우스,5,7,7,34,10133,1.71
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,1,23,26,37,41676,23/26/37,Gomjkhan,15,Zoe,조이,9,7,7,48,11225,2.29
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,1,23,26,37,41676,23/26/37,인왕산와일드보어,15,Hwei,흐웨이,2,6,13,55,9806,2.50
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,2,26,23,30,31782,26/23/30,감귤 아저씨,17,Diana,다이애나,11,9,11,31,10888,2.44
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,2,26,23,30,31782,26/23/30,기장앞바다벨코즈,17,Orianna,오리아나,5,6,14,39,10013,3.17
화면 캡처 2026-03-29 040713.jpg,2026/03/27,14:47,도살자의 다리,LoR,WIN,,2,26,23,30,31782,26/23/30,TwelveOClock,16,Vayne,베인,10,8,5,49,10881,1.88
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,1,15,18,32,33049,15/18/32,행복한욕조견,13,Singed,신지드,2,6,11,52,8171,2.17
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,1,15,18,32,33049,15/18/32,RabiEddin,12,Heimerdinger,하이머딩거,0,4,12,49,8234,3.00
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,1,15,18,32,33049,15/18/32,기장앞바다벨코즈,12,Teemo,티모,1,4,8,16,6904,2.25
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,1,15,18,32,33049,15/18/32,Gomjkhan,13,Pyke,파이크,12,4,1,15,9740,3.25
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,2,17,15,27,24867,17/15/27,TwelveOClock,13,Kalista,칼리스타,8,7,4,45,8637,1.71
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,2,17,15,27,24867,17/15/27,감귤 아저씨,13,Swain,스웨인,7,3,10,56,9113,5.67
화면 캡처 2026-03-29 040721.jpg,2026/03/27,11:25,도살자의 다리,사용자 설정,WIN,,2,17,15,27,24867,17/15/27,인왕산와일드보어,13,Leona,레오나,2,5,13,8,7117,3.00
